Parameter,Model,Train_R2,Test_R2,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,Overfitting
delta_I,RandomForest,0.9999215707917986,0.9996266036279678,0.00018046033056788772,0.00037463466752800655,0.0002928749754891823,0.0006687708530432349,0.0002949671638307061
delta_I,ExtraTrees,0.9996912593799394,0.999499662271449,0.00046254697841797694,0.0005782343703837673,0.0005810857642870143,0.0007741478577925843,0.00019159710849037115
delta_I,SVR,-0.44367776264172987,-0.3863228045129714,0.035951725264627525,0.0371633705467449,0.03973548181815348,0.040749705432157696,-0.05735495812875846
delta_I,NeuralNet,0.5737699175467902,-0.16306659836319892,0.01720262975991636,0.02824137710250597,0.021590634180989488,0.037324550124420264,0.7368365159099891
delta_I,ElasticNet,0.0,-0.00022294895818530946,0.026859721700984038,0.028582712334681626,0.03307069713488406,0.03461311596572006,0.00022294895818530946
omega_R1,XGBoost,0.9810389758834158,0.9682244569390418,5.728034844239964e-05,7.220230874496201e-05,7.824951597517004e-05,0.00010369894536016058,0.01281451894437402
omega_R1,LightGBM,0.9993622885928325,0.989871509418431,1.0641123157463245e-05,3.6823280647934555e-05,1.435036202175067e-05,5.854640235045376e-05,0.009490779174401442
omega_R1,CatBoost,0.998313605151202,0.9953405018333404,1.7007777303243213e-05,2.6142920535977033e-05,2.3336213960350063e-05,3.9709774545099196e-05,0.002973103317861603
omega_R1,RandomForest,0.9958126100279584,0.9776458354276373,2.537147601040619e-05,5.6134917634071846e-05,3.677244176444186e-05,8.697753006838498e-05,0.018166774600321123
omega_R1,ExtraTrees,0.9950382634778738,0.9809513557956809,2.983105340679292e-05,5.3793183220953544e-05,4.002834311908352e-05,8.02897089763368e-05,0.014086907682192895
omega_R1,SVR,-0.4720996984931123,-0.43278209353368147,0.0006288569045588311,0.0006375243125266206,0.0006894763540332363,0.0006963345135364608,-0.03931760495943082
omega_R1,NeuralNet,-755.3740112614256,-2053.622405761202,0.012410896440897537,0.019314222445632252,0.015628563571248234,0.026369012047785356,1298.2483944997766
omega_R1,ElasticNet,0.0,-0.00017740727242032683,0.00045791003778010496,0.00047188518186331717,0.0005682648119479425,0.0005817901562605048,0.00017740727242032683
omega_R2,XGBoost,0.9576512028559454,0.9437238026820209,4.390687764397846e-05,4.902482758576339e-05,5.712033225476302e-05,6.743595987175395e-05,0.013927400173924465
omega_R2,LightGBM,0.9992991965245887,0.9885296851595788,5.503706677599479e-06,1.9737113853735485e-05,7.347985806505488e-06,3.0445060474600524e-05,0.01076951136500981
omega_R2,CatBoost,0.9980941080233239,0.9948577743559245,9.028194101229881e-06,1.3309165357477574e-05,1.2117675719487086e-05,2.038471935061951e-05,0.0032363336673993937
omega_R2,RandomForest,0.9958280330341664,0.9768132742883747,1.1803331269846837e-05,2.6924689442605116e-05,1.7928362128524783e-05,4.328614241474173e-05,0.019014758745791727
omega_R2,ExtraTrees,0.9951370321427236,0.9805538030776542,1.4018758946210167e-05,2.5762062370888268e-05,1.9356234940010994e-05,3.964117431408909e-05,0.01458322906506948
omega_R2,SVR,-0.5886729209179449,-0.54048044595621,0.0003218306982210553,0.00032544321970874867,0.0003498544737413791,0.0003528233073395551,-0.048192474961734844
omega_R2,NeuralNet,-3170.542693622445,-8544.886391858217,0.012429717803486891,0.019240782783616805,0.0156316731749711,0.02627893309582834,5374.3436982357725
omega_R2,ElasticNet,0.0,-0.00019578221033245136,0.000223667158718448,0.0002305989157946392,0.00027756850436904675,0.0002842966099908591,0.00019578221033245136
genetic_instability,XGBoost,0.9996768752824772,0.9880746170102799,0.0033816466719160734,0.019225277908844686,0.004443966022329045,0.02681892608246498,0.011602258272197297
genetic_instability,LightGBM,0.9991414310505617,0.9918240752481536,0.00544612993508382,0.015492127251595812,0.007243913043092202,0.02220616990524282,0.00731735580240811
genetic_instability,CatBoost,0.9977131338268751,0.9950199977357945,0.009011334056033896,0.012570860360106817,0.011822409947493338,0.017330854877160216,0.0026931360910805724
genetic_instability,RandomForest,0.9955500743277085,0.9802782707161585,0.011155133410137385,0.02295258025290678,0.016491570582215162,0.034488770475512735,0.015271803611550006
genetic_instability,ExtraTrees,0.991704761033403,0.9787361203972933,0.015814158339343444,0.0241231077756968,0.022516458841055728,0.035811826175366664,0.012968640636109696
genetic_instability,SVR,0.931815173221424,0.9030664485771164,0.05508418338999631,0.060911219799031455,0.06455494420932933,0.07646140566560616,0.028748724644307666
genetic_instability,NeuralNet,0.9733097381677925,0.8790352274507094,0.031768335030950674,0.0654581267192498,0.040388902906996496,0.0854151036266004,0.09427451071708315
genetic_instability,ElasticNet,0.686471051395207,0.6880814336539279,0.11692124495981193,0.11509003350039061,0.13842816514997375,0.13715947956258293,-0.0016103822587208994
eta_E,XGBoost,0.9998033884012594,0.989367313355242,0.0025152771451043715,0.015481089540272564,0.0033329374514545363,0.02404925126770332,0.010436075046017401
eta_E,LightGBM,0.9995829107577646,0.994936108207922,0.003599206720685923,0.010903869130804057,0.004854417115465228,0.01659671975863305,0.004646802549842621
eta_E,CatBoost,0.9989948455608448,0.997712282151962,0.005704295620472816,0.007422144893113451,0.00753596709691541,0.011155300727836017,0.0012825634088828863
eta_E,RandomForest,0.9979292283933818,0.9906684663563607,0.005229964208609066,0.010006672311577692,0.010816548373320705,0.02252976000561784,0.007260762037021085
eta_E,ExtraTrees,0.9936812929173251,0.9888007935732919,0.010883412469759227,0.01286321991667336,0.01889455672739548,0.02468162089108065,0.004880499344033229
eta_E,SVR,0.9112768212435488,0.8310197199594338,0.062091984818152306,0.07566447080496323,0.07080128545179931,0.0958733858581458,0.080257101284115
eta_E,NeuralNet,0.9781018488087643,0.90480520088357,0.0273691969547201,0.05672964479658932,0.03517436946824368,0.07195925580571713,0.0732966479251943
eta_E,ElasticNet,0.555749947585557,0.5512778540810979,0.12679526831135352,0.12483947680816991,0.15842960519505417,0.15623157261761866,0.004472093504459096
eta_C,XGBoost,0.9996417719564645,0.9860118752690464,0.002317737711151171,0.012961952474417091,0.0030379949975262,0.019208296956229644,0.013629896687418097
eta_C,LightGBM,0.9989661867219778,0.9873896234477582,0.003887753355244409,0.012136497643403186,0.005160934137283729,0.018237829050600108,0.011576563274219631
eta_C,CatBoost,0.9980167706224006,0.9951970948330662,0.005309037211533886,0.00712523015421632,0.00714815131619085,0.011255404797404436,0.002819675789334397
eta_C,RandomForest,0.9891532960330828,0.9613076860748204,0.011850840355950618,0.021604682030446135,0.016716915895979626,0.03194636611106203,0.027845609958262352
eta_C,ExtraTrees,0.9795008897877882,0.9545721303416683,0.01671405281520785,0.024394074609796253,0.022981309362040552,0.034615475251130005,0.02492875944611983
eta_C,SVR,0.8412349663673476,0.7903720236052074,0.05496551113544199,0.060183553295026324,0.06395650067597916,0.07435903312169055,0.050862942762140206
eta_C,NeuralNet,0.9184300250243682,0.745591768498739,0.036002456787603235,0.0632190255589444,0.045842936445195284,0.0819171232817637,0.17283825652562923
eta_C,ElasticNet,0.35832420232950923,0.35574611314767945,0.1044471280184741,0.10388625813814482,0.1285775343734037,0.1303579844033576,0.002578089181829779
eta_H,XGBoost,0.9998633894270835,0.9901345266401086,0.001231030014299258,0.008796235801193148,0.0016518136321826546,0.01439553626179736,0.009728862786974934
eta_H,LightGBM,0.9994214904836471,0.9929259008218427,0.0024118002292076507,0.00791033478450691,0.0033991798475292924,0.01219002105895638,0.006495589661804413
eta_H,CatBoost,0.9989778453891679,0.9978566195547098,0.003127119133180007,0.0043427299959823504,0.0045183220809846434,0.0067099381320404996,0.0011212258344580617
eta_H,RandomForest,0.9976169989158049,0.9877378017931747,0.0036469609360071037,0.008345048559585486,0.006898918422608615,0.016049187454770984,0.00987919712263019
eta_H,ExtraTrees,0.9932114424363296,0.9855098168845571,0.007142861094854174,0.010091763473745019,0.011644145997430506,0.017446399805141958,0.007701625551772562
eta_H,SVR,0.7737892976997858,0.7016390936158668,0.059163893532206885,0.06642411734724803,0.06721643327579835,0.07916620792405404,0.07215020408391892
eta_H,NeuralNet,0.9455292832152462,0.8270295419111512,0.025857454463083344,0.04694964575223176,0.032983780733158906,0.060277447233127834,0.11849974130409502
eta_H,ElasticNet,0.31218710853478193,0.30415888712373285,0.08889124877068456,0.09074969540152779,0.11720713367906418,0.12089933893614288,0.008028221411049086
eta_I,XGBoost,0.9997137723502811,0.9889424631049968,0.002958458760040784,0.01702366391991445,0.0039914233379167744,0.025023574186807746,0.010771309245284355
eta_I,LightGBM,0.9990264528404699,0.9902422967484434,0.0052270032586897285,0.015105628835815819,0.007361231859315127,0.023506823469236014,0.00878415609202643
eta_I,CatBoost,0.9955461489939269,0.9907717683718945,0.011604098350992693,0.015506323204739507,0.0157448976686489,0.022860166335516085,0.0047743806220323926
eta_I,RandomForest,0.9944756064996699,0.9817122124749025,0.010861302633877494,0.01969060792020619,0.017535344517165114,0.032181088253243284,0.01276339402476745
eta_I,ExtraTrees,0.9913104642064029,0.9788590274569539,0.014653333645775191,0.02240337446443197,0.021992281626768893,0.03460051984777418,0.01245143674944904
eta_I,SVR,0.9226132380797603,0.8962282820160066,0.05606717326590608,0.06233424211490544,0.06563044327605783,0.07665838156784034,0.026384956063753684
eta_I,NeuralNet,0.9676996897917987,0.883294171348431,0.033241477207295846,0.06189981860024296,0.04240092652628179,0.0812954830643817,0.08440551844336763
eta_I,ElasticNet,0.6770981477057549,0.6816492662429352,0.11933391557182085,0.12015444324423027,0.1340624859135737,0.13426817016842388,-0.004551118537180265
